Year,Date,Time,Operator,Flight,Fatalities,Summary,Location,Latitude,Longitude,geometry
1960,10/4/1960,17:40,Eastern Air Lines,375,62,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.","Boston, Massachusetts",42.3602534,-71.0582912,POINT (42.3602534 -71.0582912)
1960,10/14/1960,15:50,Itavia,115,11,Hit Mt. Capanne while en route.  Cause unknown.,"Elba, Italy",42.79021905,10.34028139,POINT (42.79021905 10.3402813923538)
1960,10/15/1960,,Capitol Airways,,2,"The right wing of the cargo plane separated from the aircraft at 6,500 ft. Fatigue of the right wing lower attach angle bolts resulting in an in-flight wing failure.","Plain City, Utah",41.2979291,-112.0789165,POINT (41.29792910000001 -112.0789165)
1960,10/21/1960,21:14,Aeroflot,5,3,Crashed after a premature descent. The decision by the captain to perform a go-around was ccrrect but the very low pass above the runway was unacceptable.,"Ust-Orda, Russia",52.8052218,104.7534712,POINT (52.8052218 104.7534712)
1960,10/28/1960,11:39,Northwest Orient Airlines,104,12,"Crashed into mountains in snow showers while descending to Missoula. The aircraft entered a steep left banking turn and the nose was raised in an apparent attempt to turn and climb out through an intersecting valley, however, the aircraft continued to sink toward the ground, rolled to the left and crashed inverted. The failure of the pilot to continue in accordance with his IFR flight plan by attempting a VFR approach during instrument weather conditions.","Missoula, Montana",46.8701049,-113.9952672,POINT (46.8701049 -113.9952672)
1960,10/29/1960,22:02,Arctic Pacific,,22,"Crashed after taking off from Toledo Express Airfield, landing 5,800 ft. beyond the runway threshold. Sixteen members of the California State  Polytechnic College,  San Luis Obispo football team killed. Premature lift-off, partial loss of power in the No.1 engine, overweight aircraft and weather conditions were the cause of the crash.","Toledo, Ohio",41.6786754,-83.5127283,POINT (41.6786754 -83.51272829999998)
1960,10/29/1960,,Cubana de Aviacion,,1,Ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to Key West. A shooting erupted and the air marshall was killed. A total of nine persons were involved in the hijacking.,"Key West, Florida",24.5625566,-81.7724368,POINT (24.5625566 -81.77243680000002)
1960,11/5/1960,,Royal Nepal Airlines,,4,"While in  the initial climb, the plane stalled and crashed in a huge explosion.","Bhairawa, Nepal",27.512726,83.453148,POINT (27.512726 83.453148)
1960,11/7/1960,,AREA,,37,Crashed into a mountain 20 miles south of the airport while on approoach to Quito-Mariscal Sucre Airport.,"Quito, Ecuador",-0.2201641,-78.5123274,POINT (-0.2201641 -78.5123274)
1960,11/23/1960,18:45,Philippine Air Lines,26,33,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,"Manila, Philippines",14.5906216,120.9799696,POINT (14.5906216 120.9799696)
1960,12/4/1960,22:53,Aeroflot,81,14,The right engine caught fire. The crew initiated an emergency  descent from which the right wing broke off  causing the aircraft to crash.,"Chernovo, Russia",59.5583337,29.9866559,POINT (59.55833370000001 29.9866559)
1960,12/7/1960,,REAL,,15,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.","Cachimbo, Brazil",-5.90883,-44.302785,POINT (-5.90883 -44.302785)
1960,12/11/1960,19:50,Military - Argentine Air Force,,31,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.","San Andres de Giles, Argentina",-34.4420479,-59.4475258,POINT (-34.4420479 -59.44752579999999)
1960,12/16/1960,10:33,United Air Lines / Trans World Airlines,826/266,128,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.","Staten Island / Brooklyn, New York",40.652256,-73.956582,POINT (40.652256 -73.956582)
1960,12/17/1960,14:10,Military - U.S. Air Force,,20,"The aircraft lost an engine on takeoff from Munich. Unable to maintain altitude, the aircraft crashed into St. Paul's Cathedral church and into a crowded streetcar in the business section of the city, breeching a gas main and starting a fierce fire, Thirty-one people were killed on the ground. A collection of water was found in the fuel tank booster pump. Fuel contamination causing engine failure.","Munich, West Germany",48.1371079,11.5753822,POINT (48.1371079 11.5753822)
1960,12/22/1960,12:31,Philippine Air Lines,S85,28,Crashed on takeoff. Failure of the No. 1 engine shortly after take-off but after V2. Inappropriate emergency procedures by crew.,"Cebu City, Philippines",10.3095549,123.8931107,POINT (10.3095549 123.8931107)
1960,12/26/1960,19:42,Aeroflot,651,17,Loss of control resulted after 40 degrees flaps was selected causing the plane to crash. Icing.,"Ulyanovsk, Russia",54.3107593,48.3642771,POINT (54.3107593 48.3642771)
1961,1/2/1961,,Ceskoslovenske Aerolinie,,10,"Unable to gain altitude, the aircraft crashed into power cables during takeoff.","Ruzyne, Czechoslovakia",50.095863,14.285823,POINT (50.095863 14.285823)
1961,1/3/1961,7:40,Finnair,311,25,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.","Koivulahti, Finland",61.838485,28.85139254,POINT (61.838485 28.8513925407105)
1961,1/19/1961,20:25,Aeronaves de Mexico,401,4,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on.","New York, New York (Idlewild)",41.436337,-74.032958,POINT (41.436337 -74.03295799999999)
1961,1/22/1961,3:04,Military - U.S. Navy,,6,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing geart was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned.",Midway Island Naval Air Station,48.337606,-122.659171,POINT (48.337606 -122.659171)
1961,1/24/1961,10:48,Garuda Indonesia Airlines,424,21,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.,"Mt. Burangrang, Indonesia",-6.774167,107.555556,POINT (-6.774166999999999 107.555556)
1961,1/26/1961,3:30,Military - U.S. Air Force,,23,"While approaching Argentia-Bristol Field, the  aircraft crashed into the Trinity Bay about 50 km northeast of Argentia. It is believed the aircraft disintegrated in the air possibly following a mechanical issue. However, due to a lack of evidence,  it was not possible to determine the exact cause of the accident.","Trinity Bay, Newfoundland",48.9783094,-53.7993725,POINT (48.9783094 -53.7993725)
1961,1/28/1961,12:20,American Airlines,,6,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore.","Montauk Point, New York",41.0346817,-71.9442477,POINT (41.03468170000001 -71.94424770000001)
1961,2/3/1961,23:55,Garuda Indonesia Airlines,542,26,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.,"Surabaya, Indonesia",-7.2459717,112.7378266,POINT (-7.2459717 112.7378266)
1961,2/15/1961,10:05,Sabena,548,72,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.","Brussels, Belgium",50.8436709,4.367436693,POINT (50.8436709 4.36743669338796)
1961,3/9/1961,15:00,Linea Aeropostal Venezolana,,12,Crashed into the slope of a mountain while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,"Caracas, Venezuela",10.506098,-66.9146017,POINT (10.506098 -66.91460170000001)
1961,3/25/1961,,Military - Brazilian Air Force,,23,Crashed while attempting to land.,"Natal, Brazil",-5.805398,-35.2080905,POINT (-5.805398 -35.20809050000001)
1961,3/28/1961,20:08,Ceskoslovenske Aerolinie,,52,The aircraft crashed 13.6 miles Northeast of Nürnberg after an intentional descent for unknown reasons led to the disintegration of the aircraft due to structural stress. Possible defective artificial horizon. Possible unnoticed over control of the electrical rudder or aileron trim. Possible physical incapacitation of one or both pilots.,"Forcheim, Germany",31.4399,-95.35078,POINT (31.4399 -95.35078)
1961,4/3/1961,23:57,LAN,210,24,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.,"Llico, Chile",-37.1981493,-73.5648656,POINT (-37.1981493 -73.56486559999998)
1961,4/18/1961,18:10,Military - US Air Force,,14,The aircraft impacted Mount Parker shortly after taking off in foggy weather conditions.,"Mount Parker, Hong Kong",22.2660143,114.2198473,POINT (22.2660143 114.2198473)
1961,5/10/1961,1:12,Air France,406,78,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.","Ghadames, Algeria",30.13366,9.50072,POINT (30.13366 9.500719999999999)
1961,5/24/1961,2:22,Military - U.S. Air Force,,22,"After a night takeoff, while climbing to a height of 500 feet, the airplane went out of control and crashed in a wooded area.","Tacoma, Washington",47.2495798,-122.4398746,POINT (47.24957979999999 -122.4398746)
1961,5/29/1961,14:36,Military - Royal Air Force,,13,"Lost an engine, stalled and crashed.",Singapore,1.340863,103.8303918,POINT (1.340863 103.830391822121)
1961,5/30/1961,1:20,KLM Royal Dutch Airlines,897,61,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the Atlantic Ocean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction.","Lisbon, Portugal",38.7077507,-9.1365919,POINT (38.70775070000001 -9.136591900000001)
1961,6/12/1961,4:11,KLM Royal Dutch Airlines,823,20,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments.","Cairo, Egypt",30.048819,31.243666,POINT (30.048819 31.243666)
1961,6/13/1961,19:33,Air Cameroon,,5,"After liftoff, the airplane encountered difficulties in gaining height when the propeller on the No 2 engine struck a tree located 1,200 meters past the runway end. The airplane continued at low height and struck a second tree, causing a fuel tank to be ruptured and to catch fire. The accident was caused by flight at too low an altitude during a night training exercise.","Douala, Cameroon",4.0429408,9.706203,POINT (4.042940799999998 9.706203)
1961,6/17/1961,22:23,Continentale Deutsche Luftreederei,,1,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors.","Kano, Nigeria",11.8948389,8.5364136,POINT (11.8948389 8.536413599999999)
1961,6/30/1961,20:57,Transcontinental,,24,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.,"Buenos Aires, Argentina",-34.6075682,-58.4370894,POINT (-34.6075682 -58.4370894)
